"pattern","occurences_count","files_count","repos_count"
"yyyy-MM-dd","3876","2889","2131"
"yyyy-MM-dd HH:mm:ss","3648","2421","1692"
"HH:mm","1377","1059","730"
"HH:mm:ss","1248","931","847"
"dd/MM/yyyy","1151","866","573"
"yyyyMMdd","938","768","507"
"dd.MM.yyyy","824","694","399"
"yyyy-MM-dd HH:mm","676","561","444"
"yyyy","598","491","450"
"dd-MM-yyyy","561","470","379"
"yyyyMMddHHmmss","510","424","310"
"yyyy-MM-dd HH:mm:ss.SSS","523","421","356"
"yyyy/MM/dd","358","303","191"
"yyyy-MM-dd'T'HH:mm:ss","341","283","193"
"MM/dd/yyyy","337","245","180"
"yyyy/MM/dd HH:mm:ss","266","217","163"
"yyyy-MM-dd'T'HH:mm:ss.SSS'Z'","209","196","143"
"HH:mm:ss.SSS","378","188","327"
"MMMM","223","187","170"
"dd.MM.yyyy HH:mm","208","185","129"
"yyyy-MM-dd'T'HH:mm:ss'Z'","229","183","146"
"yyyy-MM","222","181","126"
"hh:mm a","215","147","146"
"dd/MM/yyyy HH:mm:ss","159","136","96"
"M/d/yyyy","153","134","47"
"h:mm a","180","133","113"
"yyyy-MM-dd HH:mm:ss.S","147","123","122"
"HH","143","123","82"
"dd-MM-yyyy HH:mm:ss","184","117","92"
"dd/MM/yyyy HH:mm","144","110","82"
"dd","121","109","88"
"yyyy-MM-dd'T'HH:mm:ssZ","127","107","93"
"yyyy.MM.dd","172","105","77"
"HHmmss","146","104","98"
"dd MMMM yyyy","122","104","79"
"dd.MM.yyyy HH:mm:ss","119","104","76"
"MM","107","98","68"
"dd MMM yyyy","107","94","69"
"yyyy-MM-dd HH:mm:ss.SSSSSS","111","90","66"
"yyyy-MM-dd'T'HH:mm:ss.SSS","110","86","65"
"yyyy-MM-dd'T'HH:mm:ss.SSSZ","88","86","61"
"yyyy-MM-dd hh:mm:ss","100","84","63"
"yyMMddHHmmss","82","82","20"
"MM/dd/yyyy HH:mm:ss","104","81","39"
"yyyy-MM-dd-HH-mm-ss","89","80","54"
"d MMMM yyyy","93","79","46"
"yyyyMMddHHmmssSSS","94","77","65"
"yyyyMM","90","76","53"
"yyyyMMddHHmm","88","76","50"
"H:mm","94","73","57"
"dd-MM-yyyy HH:mm","85","71","46"
"yyyyMMdd_HHmmss","79","71","54"
"yyyy-MM-dd'T'HH:mm:ss.SSSX","104","69","47"
"MMM","96","66","65"
"MMM dd, yyyy","69","66","57"
"MM-dd-yyyy","78","65","47"
"yyyy-MM-dd_HH-mm-ss","69","65","51"
"YYYY-MM-dd","90","63","40"
"dd-MMM-yyyy","84","63","46"
"mm","78","63","40"
"d MMM yyyy","176","62","166"
"dd/MM/yy","77","60","45"
"ddMMyy","73","60","36"
"uuuu-MM-dd","80","59","46"
"MMM yyyy","75","59","56"
"dd.MM.yy","64","59","42"
"MMMM yyyy","65","58","48"
"EEE","65","57","52"
"yyyy-MM-dd'T'HH:mm","64","57","45"
"yyyyMMdd-HHmmss","64","56","39"
"EEEE","59","56","49"
"hh:mm:ss a","68","55","36"
"uuuu-MM-dd'T'HH:mm:ss","65","54","38"
"yyyy MM dd","204","53","166"
"yyyy-MM-dd'T'HH:mm:ss.SSSXXX","56","52","36"
"uuuu-MM-dd HH:mm:ss","72","50","33"
"yyyy-MM-dd'T'HH:mm:ssXXX","53","50","35"
"yyyy-M-d","51","50","26"
"d","69","49","53"
"yyMMdd","63","49","41"
"yyyyMMddHH","56","49","26"
"d MMM uuuu HH:mm:ss ","125","48","26"
"MMMM d, yyyy","62","48","28"
"HHmm","58","48","41"
"MMMM dd, yyyy","48","48","44"
"yyyy-MM-dd HH:mm:ss z","65","46","31"
"MM/dd/yy","54","42","32"
"yyyy_MM_dd_HH_mm_ss","88","41","68"
"hh:mm","42","39","33"
"yyyy-MM-d 'at' HH:mm ","40","39","1"
"MMM dd","95","38","77"
"yyyy:MM:dd HH:mm:ss","63","38","52"
"yyyy年MM月dd日 HH:mm:ss","50","38","34"
"yyyy年MM月dd日","42","38","32"
"dd.MM.yyyy. HH:mm:ss","40","37","22"
"ss","43","36","24"
"ddMMyyyy","42","36","30"
"yyyyMMdd'T'HHmmss'Z'","39","36","28"
"yyyyMMdd'T'HHmmss","36","36","28"
"yyyy-MM-dd'T'HH:mm:ssX","39","35","31"
"dd MMM","46","34","31"
"hh:mm:ss","34","34","29"
"yyyy/MM/dd HH:mm","43","33","28"
"yyyy-MMM-dd","39","32","24"
"yyyy-MM-dd HH:mm:ss.SSSSSSSSS","39","32","19"
"uuuu/MM/dd HH:mm","34","32","7"
"a","94","31","40"
"d/M/yyyy","45","31","24"
"MM-dd","41","31","25"
"yyyy-MM-dd HH:mm:ss:SSS","38","31","20"
"dd.MM.YYYY","32","31","24"
"y M d H m s","887","30","112"
"yyyy/MM","37","30","20"
"yyyy-MM-dd HH:mm:ss Z","33","30","19"
"MMM d","38","29","32"
"MM-yyyy","38","29","14"
"MMM d, yyyy","32","29","22"
"yyyy-MM-dd-HH.mm.ss.SSSSSS","31","29","5"
"dd MM yyyy","50","28","22"
"dd MMMM","32","26","18"
"HH:mm:ss.SSSSSS","32","26","18"
"MM/dd","40","25","28"
"E","28","25","22"
"dd.MM.YYYY HH:mm:ss","26","25","14"
"yyyy-MM-dd HH-mm","25","25","2"
"Z","127","23","121"
"mm:ss","52","23","22"
"dd/MM","33","23","16"
"H","30","23","15"
"'UTC--'yyyy-MM-dd'T'HH-mm-ss.nVV'--'","23","23","20"
"d MMM","23","23","17"
"H m s","452","22","113"
"dd.MM","28","22","16"
"d.M.yyyy","23","22","18"
"dd LLLL yyyy","27","21","13"
"yyyy-MM-dd'T'HH:mmX","26","21","13"
"XXX","26","21","17"
"dd-MMMM-yyyy","26","21","21"
"yyyy-MM-dd HH","24","21","14"
"yyyy년 MM월 dd일","23","21","17"
"h:mma","21","21","16"
"MM/yyyy","21","21","18"
"uuuu","27","20","12"
"MMdd","27","20","14"
"'SELECT DATE '''uuuu-MM-dd''","26","20","10"
"yyyy-MM-d","24","20","13"
"yyyy-MM-dd HH:mm:ss,SSS","24","20","15"
"d/MM/yyyy","24","20","18"
"MM/dd/yyyy hh:mm a","21","20","15"
"SomeString","21","20","1"
"yyyy/M/d","20","20","13"
"d MMMM","27","19","15"
"dd.MM.yyyy.","23","19","13"
"HH:mm:ss z","23","19","15"
"dd-MM-yy","22","19","13"
"yyyy-MM-dd_HH:mm:ss","21","19","15"
"dd/MM/uuuu","20","19","14"
"yyyy / MM","19","19","2"
"mm:ss.SSS","19","19","9"
"dd/MM/YYYY","29","18","16"
"dd-M-yyyy","21","18","5"
"uuuu-MM","20","18","14"
"yyyy.MM.dd HH:mm:ss","20","18","14"
"MMMM d","18","18","15"
"EEE, dd MMM yyyy HH:mm:ss zzz","18","18","14"
"yy","18","18","15"
"yyyyMMdd-HHmm","23","17","18"
"MM-dd-yyyy HH:mm:ss","21","17","12"
"yyyyMMdd HH:mm:ss","20","17","11"
"MM-dd HH:mm","19","17","16"
"M/d/y H:m:ss","19","17","13"
"dd.MM.yyyy HH:mm:ss.SSS","17","17","13"
"EEE, dd MMM yyyy HH:mm:ss z","17","17","15"
"dd/MM/yyyy hh:mm:ss","17","17","6"
"MM/dd/yyyy HH:mm","26","16","10"
"H:m","23","16","14"
"EE","21","16","13"
"YYYYMMdd","21","16","20"
"d-M-yyyy","19","16","12"
"yyyy-MM-dd-HH-mm","19","16","17"
"hh:mma","19","16","14"
"YYYY","17","16","15"
"EEE, dd MMM yyyy","17","16","11"
"yyyy/MM/dd HH:mm:ss.SSS","16","16","12"
"dd/MMM/yyyy:HH:mm:ss Z","47","15","35"
"SSS","40","15","37"
"yyyy-MM-dd_HH.mm.ss","20","15","12"
"M/d/yy","20","15","15"
"EEEE, MMM d","19","15","9"
"yyyy-M-dd","17","15","9"
"yyyy-MM-dd HH-mm-ss","16","15","8"
"yyyy-MM-dd HH:mm:ss zzz","15","15","5"
"yyyy_MM_dd","15","15","13"
"y","342","14","124"
"yyyyDDD","34","14","13"
"yyyy-MM-dd-HH-mm-ss-SSS","17","14","11"
"MM/dd/uuuu","15","14","11"
"MM/dd HH:mm","14","14","9"
"YYYY-MM-dd HH:mm:ss","14","14","10"
"EEE, dd MMM yyyy HH:mm:ss Z","14","14","12"
"MM/dd/YYYY","14","14","10"
"EEE, MMM d","29","13","27"
"yyyy-MM-dd'T'HH:mm:ss.SSSSSS'Z'","19","13","12"
"ddMMMuuuu:HHmm","19","13","1"
"yy/MM/dd","18","13","16"
"yyyy-MM-dd'T'HH:mm:ssxxx","17","13","12"
"ha","16","13","10"
"d MMM uuuu","15","13","13"
"MM/dd HH:mm:ss","15","13","5"
"yyMM","14","13","8"
"uuuuMMdd","14","13","10"
"h:mm:ss a","14","13","13"
"d.MM.yyyy","14","13","8"
"uuuu/MM/dd HH:mm:ss","14","13","6"
"MM/dd/yyyy HH:mm:ss S","13","13","1"
"h a","13","13","11"
"EEE, dd MMM yyyy HH:mm:ss 'GMT'","13","13","7"
"dd-MM-yyyy HH:mm:ss.SSS","13","13","12"
"dd MMM, yyyy","13","13","10"
"yyyy-MM-dd'T'HH:mm:ss.SSSxxx","13","13","8"
"OOOO","164","12","118"
"'Z'","36","12","14"
"yyyyMMddHH00","21","12","17"
"EEEE\ndd.MM.YYYY\nHH:mm:ss","20","12","2"
"yyyy-MM-dd HH:mm:ssZ","18","12","6"
"yyyyMMdd-HHmmss.SSS","16","12","12"
"'SELECT TIME '''HH:mm:ss''","15","12","9"
"dd MMMM, yyyy","15","12","9"
"yyyy-MM-dd HH:mm:ssXXX","14","12","10"
"yyyy-MM-dd'T'HH:mm:ss.SSSZZ","14","12","13"
"dd.MM.yyyy, HH:mm","14","12","8"
"HH:mm dd.MM.yyyy","13","12","13"
"kk:mm","13","12","6"
"yyyyMMdd.HHmmss","13","12","9"
"yyyy-MM-dd'T'HH","13","12","10"
"yyyyMMddHHmmssS","13","12","9"
"z","13","12","12"
"dd MMM yyyy HH:mm","13","12","12"
"yyyy-MM-dd'T'HH-mm-ss","12","12","7"
"'Starts at' HH:mm","12","12","4"
"EEE, d MMM yyyy","12","12","7"
"EEE MMM dd HH:mm:ss zzz yyyy","45","11","27"
"yyyy-MM-dd HH:mm:ss.SS","23","11","9"
"yyyy-MM-dd z","19","11","2"
"d MMMM yyyy, HH:mm","16","11","8"
"d-MM-yyyy","15","11","11"
"EEE'\n'd MMM","15","11","13"
"HH:mm:ss.SSSSSSSSS","14","11","10"
"H:mm:ss","14","11","14"
"dd - MM - yyyy","14","11","1"
"MMddyyyy","13","11","7"
"dd-MMM-yyyy HH:mm","13","11","11"
"dd/MM/yy HH:mm","12","11","12"
"yyyyMMddhhmmss","12","11","8"
"HH:mm:ss.SS","12","11","6"
"yy.MM.dd","12","11","6"
"yyyyMMdd'T'HHmmssX","12","11","8"
"YYYY.MM.dd","11","11","8"
"HH:mm:ss:SSS","11","11","8"
"uuuu-MM-dd HH:mm","11","11","11"
"HH:mm:ss SSS","11","11","1"
"","11","11","8"
"yyyy-MMM-dd HH:mm:ss","11","11","4"
"yyyy-MM-dd'T'HH:mm'Z'","11","11","10"
"uuuu-MM-dd HH:mm:ss.SSS","17","10","15"
"dd.MM.uuuu","16","10","8"
"HH-mm-ss_SSS","14","10","10"
"EEEE, MMMM dd, yyyy","14","10","9"
"dd.MM.yy HH:mm","14","10","11"
"yyy-MM-dd","13","10","8"
"dd-MM-yyy","13","10","7"
"MMMM dd","12","10","9"
"M月d日","11","10","8"
"M/d/y","11","10","7"
"'DATE '''yyyy-MM-dd''","11","10","8"
"d.M.yy","11","10","7"
"HH:mm a","11","10","6"
"uuuu/MM/dd","11","10","8"
"MMM-yyyy","11","10","7"
"MMM dd yyyy","11","10","10"
"YYYY-MM-dd HH:mm:ss.SSS","11","10","7"
"yyyy年M月d日","11","10","10"
"yyyy-MM-dd hh:mm a","11","10","7"
"yyyy년 M월 d일","11","10","5"
"dd-MM","10","10","7"
"dd.MM.yyyy 'kl.' HH:mm","10","10","3"
"yyyy-MM-dd HH:00","10","10","1"
"M/d","10","10","7"
"yyyy-MM-dd'T'HH:mm:ss.SSSSSSSSS'Z'","10","10","7"
